modelo,cv_accuracy_mean,cv_accuracy_std,validation_accuracy,test_accuracy,validation_f1_macro,test_f1_macro
LogisticRegression,0.8910626319493314,0.0024940246511849858,0.888279301745636,0.8874629812438302,0.7917655786350148,0.7956533741028581
LinearSVC,0.893314567206193,0.004764619529855259,0.885286783042394,0.8923988153998026,0.7867273810316633,0.8041449600811681
KNN,0.8803659394792399,0.0032402151817653197,0.8783042394014963,0.8904244817374136,0.7634808471796777,0.7785548152801767
DecisionTree,0.8741731175228711,0.007264454834940984,0.8723192019950124,0.8706811451135242,0.7865410399470345,0.7792202174473642
DummyClassifier,0.8253342716396903,0.00028149190710764495,0.8254364089775561,0.8252714708785784,0.4521857923497268,0.45213628988642507
